,period,short_desc,temp,desc
0,Overnight,Clear,Low: 49 °F,"Overnight: Clear, with a low around 49. North wind around 18 mph, with gusts as high as 23 mph. "
1,Friday,Sunny,High: 63 °F,"Friday: Sunny, with a high near 63. North northeast wind 7 to 17 mph, with gusts as high as 21 mph. "
2,FridayNight,Clear,Low: 46 °F,"Friday Night: Clear, with a low around 46. North northeast wind 5 to 9 mph. "
3,Saturday,Sunny,High: 63 °F,"Saturday: Sunny, with a high near 63. Northeast wind around 9 mph. "
4,SaturdayNight,Partly Cloudy,Low: 45 °F,"Saturday Night: Partly cloudy, with a low around 45. East northeast wind around 7 mph. "
5,Sunday,Sunny,High: 65 °F,"Sunday: Sunny, with a high near 65."
6,SundayNight,Mostly Clear,Low: 45 °F,"Sunday Night: Mostly clear, with a low around 45."
7,Monday,Sunny,High: 64 °F,"Monday: Sunny, with a high near 64."
8,MondayNight,Mostly Clear,Low: 45 °F,"Monday Night: Mostly clear, with a low around 45."
